version,executed_at,execution_time
DoctrineMigrations\Version20211201123038,2021-12-01 12:30:59,135
DoctrineMigrations\Version20211201124346,2021-12-01 12:43:57,130
DoctrineMigrations\Version20211201125449,2021-12-01 12:55:01,137
DoctrineMigrations\Version20211201125742,2021-12-01 12:57:51,112
DoctrineMigrations\Version20211201130215,2021-12-01 13:02:29,123
DoctrineMigrations\Version20211201135140,2021-12-01 13:51:56,99
DoctrineMigrations\Version20211201150140,2021-12-01 15:01:55,99
DoctrineMigrations\Version20211201150448,2021-12-01 15:05:25,126
DoctrineMigrations\Version20211202142107,2021-12-02 14:21:24,172
DoctrineMigrations\Version20211202154155,2021-12-02 15:42:08,161
DoctrineMigrations\Version20211206122115,2021-12-06 12:21:27,278
DoctrineMigrations\Version20211206124001,2021-12-06 12:40:09,153
DoctrineMigrations\Version20211206140051,2021-12-06 14:00:58,142
DoctrineMigrations\Version20211206140519,2021-12-06 14:05:49,156
